"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsFLA",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jake Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsFLA",2
1,"19:46","(Gators gains possession)",1186,""," ","(Gators",0,0,"","vsFLA",2
1,"19:44","Tyrese Samuel misses two point layup",1184,"Missed Two","misses","Tyrese Samuel",0,0,"","vsFLA",2
1,"19:41","Micah Handlogten offensive rebound",1181,"Off Rebound","offensive rebound","Micah Handlogten",0,0,"","vsFLA",2
1,"19:17","Micah Handlogten makes two point putback layup",1157,"Made Two","makes","Micah Handlogten",0,2,"Cavs","vsFLA",3
1,"19:15","Ryan Dunn misses three point jump shot",1155,"Missed Three","misses","Ryan Dunn",0,2,"Cavs","vsFLA",3
1,"19:09","Riley Kugel defensive rebound",1149,"Def Rebound","defensive rebound","Riley Kugel",0,2,"Opp","vsFLA",4
1,"18:51","Riley Kugel turnover (bad pass) (Ryan Dunn steals)",1131,"Turnover","turnover","Riley Kugel",0,2,"Cavs","vsFLA",5
1,"18:50","Reece Beekman misses two point layup",1130,"Missed Two","misses","Reece Beekman",0,2,"Cavs","vsFLA",5
1,"18:50","Jump ball.  (Reece Beekman gains possession)",1130,"Jump Ball"," ","Jump",0,2,"Cavs","vsFLA",5
1,"18:46","Reece Beekman offensive rebound",1126,"Off Rebound","offensive rebound","Reece Beekman",0,2,"Cavs","vsFLA",5
1,"18:40","Ryan Dunn turnover (bad pass) (Will Richard steals)",1120,"Turnover","turnover","Ryan Dunn",0,2,"Opp","vsFLA",6
1,"18:39","Walter Clayton Jr. misses three point jump shot",1119,"Missed Three","misses","Walter Clayton Jr.",0,2,"Opp","vsFLA",6
1,"18:31","Gators offensive rebound",1111,"Off Rebound","offensive rebound","Gators",0,2,"Opp","vsFLA",6
1,"18:12","Walter Clayton Jr. makes two point jump shot",1092,"Made Two","makes","Walter Clayton Jr.",0,4,"Cavs","vsFLA",7
1,"18:12","Tyrese Samuel personal foul (Isaac McKneely draws the foul)",1092,"Foul","personal foul","Tyrese Samuel",0,4,"Cavs","vsFLA",7
1,"18:12","Isaac McKneely misses regular free throw 1 of 2",1092,"Missed FT","misses","Isaac McKneely",0,4,"Cavs","vsFLA",7
1,"17:55","Isaac McKneely makes regular free throw 2 of 2",1075,"Made FT","makes","Isaac McKneely",1,4,"Opp","vsFLA",8
1,"17:40","Micah Handlogten makes two point dunk (Tyrese Samuel assists)",1060,"Made Two","makes","Micah Handlogten",1,6,"Cavs","vsFLA",9
1,"17:20","Isaac McKneely makes three point jump shot (Jacob Groves assists)",1040,"Made Three","makes","Isaac McKneely",4,6,"Opp","vsFLA",10
1,"17:11","Riley Kugel turnover (bad pass) (Andrew Rohde steals)",1031,"Turnover","turnover","Riley Kugel",4,6,"Cavs","vsFLA",11
1,"17:09","Walter Clayton Jr. blocks Reece Beekman's two point layup",1029,"Block","block","Walter Clayton Jr.",4,6,"Cavs","vsFLA",11
1,"17:03","Micah Handlogten defensive rebound",1023,"Def Rebound","defensive rebound","Micah Handlogten",4,6,"Opp","vsFLA",12
1,"16:57","Riley Kugel makes two point layup",1017,"Made Two","makes","Riley Kugel",4,8,"Cavs","vsFLA",13
1,"16:55","Ryan Dunn misses two point fadeaway jump shot",1015,"Missed Two","misses","Ryan Dunn",4,8,"Cavs","vsFLA",13
1,"16:25","Tyrese Samuel defensive rebound",985,"Def Rebound","defensive rebound","Tyrese Samuel",4,8,"Opp","vsFLA",14
1,"16:09","Tyrese Samuel makes two point layup (Micah Handlogten assists)",969,"Made Two","makes","Tyrese Samuel",4,10,"Cavs","vsFLA",15
1,"16:00","Andrew Rohde turnover (bad pass) (Tyrese Samuel steals)",960,"Turnover","turnover","Andrew Rohde",4,10,"Opp","vsFLA",16
1,"15:58","Tyrese Samuel misses three point jump shot",958,"Missed Three","misses","Tyrese Samuel",4,10,"Opp","vsFLA",16
1,"15:45","Isaac McKneely defensive rebound",945,"Def Rebound","defensive rebound","Isaac McKneely",4,10,"Cavs","vsFLA",17
1,"15:43","Reece Beekman misses two point pullup jump shot",943,"Missed Two","misses","Reece Beekman",4,10,"Cavs","vsFLA",17
1,"15:33","Walter Clayton Jr. defensive rebound",933,"Def Rebound","defensive rebound","Walter Clayton Jr.",4,10,"Opp","vsFLA",18
1,"15:12","Tyrese Samuel makes two point layup (Walter Clayton Jr. assists)",912,"Made Two","makes","Tyrese Samuel",4,12,"Cavs","vsFLA",19
1,"14:59","Reece Beekman makes three point jump shot (Ryan Dunn assists)",899,"Made Three","makes","Reece Beekman",7,12,"Opp","vsFLA",20
1,"14:57","Micah Handlogten makes two point alley-oop layup (Walter Clayton Jr. assists)",897,"Made Two","makes","Micah Handlogten",7,14,"Cavs","vsFLA",21
1,"14:56","Cavaliers lineup change (Isaac McKneely,Dante Harris,Andrew Rohde,Ryan Dunn,Blake Buchanan)",896,"Cav Sub"," ","Cavaliers",7,14,"Cavs","vsFLA",21
